d,dt,p,kappa,n_accepted,mwpm_n_fail,mwpm_ler,gnn_n_fail,gnn_ler
5,5,0.005,0.2,20000000,69.9,3.495878e-06,20.0,1.000000e-06
5,5,0.005,0.3,30000000,253.0,8.433333e-06,60.0,2.000000e-06
5,5,0.005,0.4,40000000,538.1,1.345168e-05,140.0,3.500000e-06
5,5,0.005,0.5,50000000,1115.7,2.231372e-05,342.0,6.840000e-06
5,5,0.005,0.6,60000000,2380.4,3.967263e-05,756.0,1.260000e-05
5,5,0.005,0.7,70000000,7482.0,1.068857e-04,2013.0,2.875714e-05
5,5,0.005,0.8,80000000,28020.5,3.502568e-04,7153.0,8.941250e-05
5,5,0.005,0.9,90000000,137994.2,1.533269e-03,41724.0,4.636000e-04
5,5,0.005,1.0,100000000,1404059.0,1.404059e-02,938002.0,9.380020e-03
7,7,0.005,0.2,20000000,9.0,4.500000e-07,12.0,6.000000e-07
7,7,0.005,0.3,30000000,43.0,1.433333e-06,27.0,9.000000e-07
7,7,0.005,0.4,40000000,172.0,4.300000e-06,78.0,1.950000e-06
7,7,0.005,0.5,50000000,431.0,8.620000e-06,178.0,3.560000e-06
7,7,0.005,0.6,60000000,1063.1,1.771849e-05,423.0,7.050000e-06
7,7,0.005,0.7,70000000,2906.1,4.151594e-05,1122.0,1.602857e-05
7,7,0.005,0.8,80000000,9670.8,1.208853e-04,3726.0,4.657500e-05
7,7,0.005,0.9,90000000,46228.7,5.136523e-04,18162.0,2.018000e-04
7,7,0.005,1.0,100000000,999498.0,9.994980e-03,731541.0,7.315410e-03
9,9,0.005,0.2,20000000,1.0,5.000000e-08,27.0,1.350000e-06
9,9,0.005,0.3,30000000,7.0,2.333333e-07,33.0,1.100000e-06
9,9,0.005,0.4,40000000,35.0,8.750000e-07,46.0,1.150000e-06
9,9,0.005,0.5,50000000,118.1,2.361971e-06,74.0,1.480000e-06
9,9,0.005,0.6,60000000,342.0,5.700000e-06,139.0,2.316667e-06
9,9,0.005,0.7,70000000,981.2,1.401718e-05,313.0,4.471429e-06
9,9,0.005,0.8,80000000,3151.8,3.939807e-05,967.0,1.208750e-05
9,9,0.005,0.9,90000000,16272.0,1.808000e-04,4626.0,5.140000e-05
9,9,0.005,1.0,100000000,675512.0,6.755120e-03,414621.0,4.146210e-03
